"PVWatts: Hourly PV Performance Data"
"Requested Location:","16335, USA"
"Location:","Lat, Lon: 41.65, -80.14"
"Lat (deg N):","41.65"
"Long (deg W):","80.14"
"Elev (m):","406.92001342773"
"DC System Size (kW):","1"
"Module Type:","Premium"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.119"
"Capacity Factor (%)","13.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","15","20","0","0","-11","0","0","-11","0","0"
"2","15","21","0","0","-12","0","0","-12","0","0"
"2","15","22","0","0","-12","0","0","-12","0","0"
"2","15","23","0","0","-12","0","0","-12","0","0"
"2","16","0","0","0","-13","0","0","-13","0","0"
"2","16","1","0","0","-13","0","0","-13","0","0"
"2","16","2","0","0","-12","0","0","-12","0","0"
"2","16","3","0","0","-12","0","0","-12","0","0"
"2","16","4","0","0","-12","0","0","-12","0","0"
"2","16","5","0","0","-12","0","0","-12","0","0"
"2","16","6","0","0","-13","0","0","-13","0","0"
"2","16","7","0","4","-11","0","3.78","-14.751","3.7","0"
"2","16","8","199","78","-9","0","161.695","-5.351","146.707","138.566"
"2","16","9","0","108","-7","0","105.375","-3.564","99.59","92.512"
"2","16","10","28","197","-6","0","217.124","1.662","201.621","192.137"
"2","16","11","55","256","-6","0","315.537","6.895","288.137","276.31"
"2","16","12","85","288","-5","0","378.896","11.174","341.14","327.74"
"2","16","13","67","252","-5","0","320.754","9.61","290.271","278.382"
"2","16","14","179","226","-5","0","377.503","11.183","339.121","325.782"
"2","16","15","39","154","-6","0","183.254","3.422","168.846","160.178"
"2","16","16","190","90","-6","0","178.189","1.002","160.204","151.744"
"2","16","17","0","22","-7","0","20.95","-6.683","19.996","14.527"
"2","16","18","0","0","-8","0","0","-8","0","0"
"2","16","19","0","0","-9","0","0","-9","0","0"
"2","16","20","0","0","-10","0","0","-10","0","0"
"2","16","21","0","0","-11","0","0","-11","0","0"
"2","16","22","0","0","-12","0","0","-12","0","0"
"2","16","23","0","0","-14","0","0","-14","0","0"
"2","17","0","0","0","-15","0","0","-15","0","0"
"2","17","1","0","0","-16","0","0","-16","0","0"
"2","17","2","0","0","-16","0","0","-16","0","0"
"2","17","3","0","0","-16","0","0","-16","0","0"
"2","17","4","0","0","-16","0","0","-16","0","0"
"2","17","5","0","0","-17","0","0","-17","0","0"
"2","17","6","0","0","-17","0","0","-17","0","0"
"2","17","7","311","16","-16","0","77.687","-16.207","58.883","52.658"
"2","17","8","731","51","-14","0","330.992","-1.669","285.864","274.101"
"2","17","9","869","75","-10","0","578.128","13.722","504.135","485.242"
"2","17","10","930","93","-8","0","773.638","23.896","662.153","636.991"
"2","17","11","722","127","-6","0","740.475","25.943","632.307","608.4"
"2","17","12","735","134","-5","1","786.501","21.746","682.164","656.142"
"2","17","13","495","205","-5","1","646.721","17.79","568.527","547.191"
"2","17","14","219","225","-5","1","405.429","9.621","365.995","351.82"
"2","17","15","203","165","-5","1","298.403","4.842","271.943","260.576"
"2","17","16","167","93","-5","1","172.706","0.006","156.346","147.978"
"2","17","17","18","24","-5","1","27.598","-5.858","25.31","19.741"
"2","17","18","0","0","-5","1","0","-5","0","0"
"2","17","19","0","0","-5","1","0","-5","0","0"
"2","17","20","0","0","-5","1","0","-5","0","0"
"2","17","21","0","0","-5","2","0","-5","0","0"
"2","17","22","0","0","-4","2","0","-4","0","0"
"2","17","23","0","0","-3","2","0","-3","0","0"
"2","18","0","0","0","-2","2","0","-2","0","0"
"2","18","1","0","0","-1","1","0","-1","0","0"
"2","18","2","0","0","-1","1","0","-1","0","0"
"2","18","3","0","0","-1","1","0","-1","0","0"
"2","18","4","0","0","-2","1","0","-2","0","0"
"2","18","5","0","0","-2","1","0","-2","0","0"
"2","18","6","0","0","-3","1","0","-3","0","0"
"2","18","7","0","0","-4","1","0","-4","0","0"
"2","18","8","0","75","-4","1","74.049","-4.311","70.15","63.695"
"2","18","9","34","147","-4","1","171.858","-0.402","160.297","151.835"
"2","18","10","22","188","-4","1","202.77","1.254","188.572","179.417"
"2","18","11","8","189","-3","1","192.876","2.087","178.988","170.071"
"2","18","12","38","249","-2","1","293.646","6.398","268.659","257.384"
"2","18","13","80","262","-2","1","342.533","8.569","311.042","298.548"
"2","18","14","448","187","-1","1","548.132","16.334","483.09","464.961"
"2","18","15","715","119","-1","0","564.989","23.278","480.106","462.084"
"2","18","16","542","86","-2","0","320.576","14.091","270.542","259.214"
"2","18","17","169","32","-4","0","75.644","0.422","61.717","55.434"
"2","18","18","0","0","-3","0","0","-3","0","0"
"2","18","19","0","0","-1","0","0","-1","0","0"
"2","18","20","0","0","-1","0","0","-1","0","0"
"2","18","21","0","0","-1","0","0","-1","0","0"
"2","18","22","0","0","0","1","0","0","0","0"
"2","18","23","0","0","0","1","0","0","0","0"
"2","19","0","0","0","0","1","0","0","0","0"
"2","19","1","0","0","0","1","0","0","0","0"
"2","19","2","0","0","0","1","0","0","0","0"
"2","19","3","0","0","0","1","0","0","0","0"
